DaysOnMarket,Latitude,Longitude,BathroomsTotalInteger,LivingArea,FireplaceYN,YearBuilt,ParkingTotal,BedroomsTotal,PoolPrivateYN,LotSizeAcres,Stories
59,36.81733611,-121.6450867,2.0,1488.0,True,1994.0,2.0,3.0,False,5.0,1.0
38,37.99604785,-121.793786,2.0,1942.0,True,1979.0,2.0,3.0,False,0.1837,1.0
31,34.237338,-116.857729,2.0,1280.0,True,1971.0,4.0,3.0,False,0.2073,2.0
75,33.75993,-116.322634,3.0,2639.0,True,1991.0,2.0,4.0,True,0.28,1.0
63,33.723885,-116.996642,2.0,1189.0,True,1984.0,2.0,2.0,False,0.06,1.0
6,33.708791,-117.975652,3.0,2154.0,True,1970.0,2.0,4.0,False,0.0983,2.0
79,34.432495,-118.539826,2.0,1080.0,True,1970.0,2.0,2.0,True,0.2174,1.0
38,34.643007,-118.253317,3.0,2488.0,False,2025.0,2.0,4.0,False,0.3142,1.0
7,37.24064424,-121.98241598,3.0,2559.0,True,1953.0,2.0,4.0,False,0.1702,1.0
22,33.601932,-117.239749,3.0,2846.0,True,2016.0,2.0,4.0,False,0.21,2.0
5,37.2855938,-121.90443636,2.0,1500.0,False,1947.0,1.0,3.0,True,0.1881,1.0
30,33.900467,-118.338839,1.0,1226.0,False,1951.0,1.0,3.0,False,0.1149,1.0
157,35.50414400000001,-120.669922,2.0,1728.0,True,1961.0,0.0,4.0,True,0.7392,2.0
19,33.925749,-118.418224,3.0,1328.0,False,1918.0,1.0,3.0,False,0.1542,1.0
49,37.66791851,-121.69128513,2.0,1968.0,True,1966.0,4.0,3.0,False,5.05,1.0
41,34.090340999999995,-118.019395,1.0,1590.0,True,1950.0,1.0,3.0,False,0.1239,1.0
15,34.145836,-117.367662,4.0,3325.0,True,2022.0,3.0,5.0,False,0.1548,2.0
154,34.074519,-118.600348,4.0,2426.0,True,1969.0,6.0,4.0,False,2.9583,1.0
82,33.799269,-116.437896,3.0,2830.0,True,1980.0,3.0,3.0,True,0.08,1.0
11,34.447787,-118.56728,3.0,1558.0,True,2001.0,2.0,3.0,False,1.6757,2.0
8,34.152934,-117.53178,3.0,2905.0,True,2003.0,3.0,4.0,False,0.2588,1.0
17,34.247449,-118.43351,2.0,1195.0,False,1953.0,2.0,3.0,True,0.1744,1.0
3,33.848524,-117.732942,5.0,4384.0,True,2000.0,6.0,5.0,True,0.2597,2.0
81,34.110163,-118.383014,3.0,1628.0,False,1940.0,2.0,3.0,False,0.2731,2.0
38,33.817136,-118.281402,3.0,2273.0,True,1968.0,2.0,4.0,False,0.1203,2.0
120,34.11435,-118.314966,5.0,2398.0,True,1968.0,4.0,4.0,True,0.2303,1.0
54,34.093196,-118.050339,5.0,2933.0,True,2019.0,2.0,4.0,False,0.1593,1.0
52,33.658016,-117.234167,2.0,1294.0,False,2011.0,2.0,3.0,False,0.2,1.0
23,37.97577809,-122.3083518,2.0,1444.0,False,1994.0,2.0,3.0,False,0.21,1.0
18,34.222963,-118.897095,2.0,1209.0,True,1977.0,2.0,3.0,False,0.14,1.0
7,34.096604,-117.72958,2.0,1407.0,True,1955.0,4.0,3.0,False,0.2118,1.0
151,38.06012334,-122.15338734,2.0,2656.0,False,1984.0,2.0,3.0,False,0.2233,2.0
7,34.035318,-118.375997,2.0,1382.0,True,1941.0,4.0,3.0,False,0.1148,1.0
26,37.82206394,-122.19064325,1.0,1115.0,False,1960.0,2.0,2.0,False,0.1439,1.0
26,33.757245000000005,-116.918127,4.0,2417.0,True,2005.0,3.0,4.0,True,0.46,1.0
58,33.538354,-117.776363,2.0,1460.0,True,1929.0,2.0,4.0,False,0.0918,1.0
82,34.591902000000005,-118.163211,2.0,2278.0,False,2025.0,2.0,4.0,False,0.1908,1.0
6,36.99966979,-121.57985739,3.0,2085.0,True,1978.0,2.0,4.0,False,0.124,1.0
43,33.932133,-118.149299,2.0,2325.0,True,1949.0,5.0,3.0,True,0.1978,1.0
4,33.7416,-116.962428,1.0,1007.0,False,1955.0,2.0,2.0,False,0.4,1.0
14,34.059032,-117.50153,2.0,1373.0,True,1980.0,3.0,4.0,False,0.4604,1.0
15,33.900185,-117.330309,3.0,3262.0,True,2003.0,3.0,5.0,False,0.31,2.0
37,34.102777,-117.668143,2.0,1491.0,False,1963.0,2.0,3.0,False,0.1722,1.0
18,32.91995934,-117.08466232,3.0,2624.0,False,1988.0,4.0,4.0,False,0.1195,2.0
60,33.257664,-117.141023,3.0,2346.0,False,1999.0,4.0,4.0,False,0.1232,2.0
15,34.280673,-119.234321,3.0,1612.0,True,1964.0,2.0,4.0,False,0.2,1.0
7,34.119718,-117.157185,3.0,2444.0,True,1991.0,3.0,4.0,False,0.1808,2.0
12,37.92233935,-122.02406573,3.0,2310.0,True,1970.0,2.0,5.0,False,0.2369,1.0
11,34.114408000000005,-117.369575,3.0,1982.0,True,1958.0,2.0,3.0,False,0.3357,1.0
132,33.788142,-116.297119,2.0,1858.0,False,2002.0,2.0,2.0,False,0.16,1.0
29,33.996691,-118.325452,4.0,1612.0,False,1922.0,0.0,4.0,False,0.1485,1.0
7,32.89553886,-117.16127298,4.0,2464.0,False,2022.0,4.0,4.0,False,0.18,1.0
12,34.300195,-118.864377,2.0,1774.0,True,1990.0,3.0,3.0,False,0.375,1.0
0,37.79978067,-121.93390556,2.0,2022.0,True,1987.0,2.0,4.0,False,0.2204,1.0
13,33.934208,-117.399919,1.0,770.0,False,1937.0,2.0,2.0,False,0.17,1.0
103,33.816673,-118.012193,3.0,2002.0,True,1999.0,2.0,4.0,False,0.0799,2.0
39,33.344389,-115.985443,3.0,1700.0,False,2007.0,4.0,5.0,False,0.2418,2.0
9,39.734373,-121.57386,2.0,1200.0,True,2025.0,2.0,2.0,False,0.63,1.0
6,33.900125,-117.846845,2.0,1761.0,True,1971.0,2.0,4.0,False,0.1658,1.0
18,38.785673,-122.544604,4.0,3026.0,True,2003.0,2.0,5.0,True,0.25,1.0
122,37.98948057,-122.3524198,3.0,2320.0,False,2024.0,2.0,4.0,False,0.1296,2.0
5,34.136165000000005,-118.206235,2.0,2066.0,True,1925.0,2.0,3.0,False,0.1527,1.0
14,37.97468567,-122.10344664,2.0,2081.0,True,1979.0,2.0,4.0,False,0.2491,2.0
19,37.96355558,-122.35018412,1.0,1094.0,False,1930.0,0.0,2.0,False,0.17,1.0
119,33.794684000000004,-118.069014,2.0,1361.0,True,1963.0,4.0,3.0,False,0.166,1.0
7,37.7088858,-122.08034778,2.0,1432.0,True,1956.0,2.0,3.0,False,0.1206,1.0
54,34.669576,-118.212178,2.0,1885.0,True,1994.0,3.0,4.0,True,0.242,1.0
13,33.644787,-117.940571,2.0,2102.0,True,2013.0,4.0,4.0,False,0.1906,1.0
8,37.4461381,-121.90214957,3.0,1964.0,True,1978.0,2.0,4.0,False,0.1402,1.0
6,33.626771999999995,-117.61176,3.0,2322.0,True,1999.0,3.0,4.0,False,0.0906,2.0
3,33.54415,-117.719814,5.0,3839.0,True,2005.0,3.0,5.0,True,0.1394,2.0
43,34.033553999999995,-118.347589,1.0,1078.0,False,1923.0,1.0,3.0,False,0.1104,1.0
53,34.094813,-117.365563,1.0,1080.0,False,1954.0,1.0,3.0,True,0.1905,1.0
62,33.949026,-116.998602,3.0,2669.0,True,2003.0,2.0,5.0,True,0.14,2.0
7,33.941083,-117.952623,2.0,1500.0,True,1956.0,6.0,3.0,True,0.2204,1.0
33,33.975984000000004,-117.955655,3.0,2753.0,True,1973.0,5.0,4.0,False,0.3877,2.0
23,33.591714,-117.679206,2.0,1382.0,True,1975.0,2.0,3.0,False,0.1322,1.0
5,33.737442,-116.953892,2.0,1683.0,False,1962.0,2.0,3.0,False,0.23,1.0
6,33.855203,-117.990348,2.0,1279.0,False,1955.0,5.0,3.0,False,0.1377,1.0
39,33.625671000000004,-117.638695,3.0,1818.0,True,1983.0,2.0,3.0,False,0.0798,2.0
5,33.688158,-117.22204,2.0,1724.0,False,2001.0,3.0,4.0,True,0.17,1.0
4,33.684396,-117.950971,2.0,1176.0,False,1963.0,2.0,3.0,False,0.1426,1.0
23,35.120214000000004,-120.620843,3.0,1768.0,True,2004.0,2.0,3.0,False,0.1065,2.0
68,33.964985,-118.090715,2.0,1757.0,False,1952.0,1.0,4.0,False,0.1433,2.0
37,33.970040999999995,-117.71284,2.0,1430.0,True,2005.0,2.0,3.0,False,0.12,1.0
29,37.70338209,-122.11555156,2.0,1890.0,False,1930.0,0.0,3.0,False,0.109,2.0
24,32.766383000000005,-116.981473,3.0,2250.0,True,1956.0,12.0,4.0,True,1.03,1.0
14,37.85202273,-122.26289439,3.0,1525.0,False,2008.0,1.0,3.0,False,0.2296,2.0
79,33.807701,-117.840762,3.0,2540.0,True,1973.0,2.0,4.0,False,0.1598,2.0
74,33.812378,-116.434959,5.0,4369.0,True,2003.0,3.0,4.0,True,0.37,1.0
7,33.786157,-117.803391,2.0,1000.0,True,1913.0,1.0,3.0,False,0.2164,1.0
2,34.254883,-117.22972,3.0,3604.0,True,2005.0,3.0,5.0,False,0.2204,2.0
12,32.79752251,-117.20785279,4.0,2063.0,True,1959.0,1.0,3.0,False,0.19,1.0
78,33.587675,-117.202728,3.0,1761.0,True,1995.0,2.0,3.0,False,0.11,2.0
13,34.051054,-117.781645,1.0,810.0,False,1949.0,2.0,2.0,False,0.1633,1.0
6,33.627303999999995,-117.912357,2.0,1718.0,True,1956.0,2.0,3.0,False,0.1377,1.0
223,34.455025,-117.336152,2.0,1982.0,True,2024.0,3.0,4.0,False,1.0,1.0
14,33.562095,-117.58553899999998,5.0,4109.0,True,2000.0,3.0,5.0,True,0.148,2.0
10,36.97428461,-121.97754255,2.0,1355.0,False,1963.0,2.0,3.0,True,0.176,2.0
17,37.93078742,-122.08531761,2.0,1534.0,True,1951.0,2.0,3.0,False,0.2296,1.0
33,33.771204,-117.849125,2.0,1682.0,True,1971.0,2.0,4.0,True,0.1446,1.0
5,33.680652,-117.148009,2.0,2184.0,True,2007.0,3.0,3.0,False,0.15,1.0
134,38.981706,-122.837704,2.0,1527.0,True,1984.0,2.0,4.0,False,0.23,1.0
36,34.139292,-118.389261,5.0,2688.0,True,1940.0,2.0,3.0,False,0.1147,2.0
13,32.671378999999995,-117.003224,3.0,2420.0,True,1978.0,2.0,4.0,True,0.2579,2.0
36,35.271453,-120.648914,1.0,1269.0,False,1954.0,1.0,3.0,False,0.1542,1.0
44,38.02445091,-121.6114702,2.0,1393.0,False,1947.0,0.0,3.0,False,0.186,2.0
1,36.803577,-119.694222,3.0,1512.0,False,2018.0,2.0,3.0,False,0.0512,2.0
37,34.276627000000005,-118.868315,4.0,3307.0,True,2002.0,2.0,4.0,False,0.18,2.0
0,34.124734000000004,-118.143662,1.0,968.0,True,1928.0,3.0,2.0,False,0.1037,1.0
53,32.73869407,-116.99358793,2.0,1573.0,True,1938.0,13.0,4.0,False,0.65,1.0
13,37.8911075,-122.29492106,2.0,1438.0,True,1932.0,4.0,2.0,False,0.1148,1.0
7,37.8930882,-122.29681099,3.0,1720.0,True,1920.0,3.0,5.0,False,0.1148,2.0
48,34.192362,-119.237659,2.0,1471.0,False,2015.0,2.0,3.0,False,0.14,1.0
63,33.73486482,-117.18550799,2.0,1371.0,True,2001.0,6.0,3.0,False,0.23,1.0
33,33.16044479,-117.33509145,2.0,2269.0,True,1970.0,4.0,3.0,True,0.2135,1.0
23,34.192822,-118.85789,3.0,2246.0,True,1959.0,1.0,4.0,True,0.76,1.0
0,33.475586,-117.695504,3.0,1819.0,True,1990.0,2.0,2.0,False,0.0781,2.0
4,34.131721,-117.873125,2.0,1452.0,True,1952.0,2.0,3.0,False,0.1467,1.0
72,37.52045947,-121.93313,3.0,2308.0,True,1988.0,3.0,4.0,False,0.2056,2.0
3,33.207919,-117.231292,3.0,2479.0,True,1999.0,4.0,5.0,False,0.3143,2.0
34,33.694826,-117.900464,4.0,3020.0,True,1978.0,3.0,5.0,False,0.1377,2.0
1,34.108017,-118.31505,2.0,1845.0,True,1924.0,2.0,3.0,False,0.094,1.0
7,37.90790259,-122.09505911,3.0,1922.0,True,1959.0,2.0,4.0,False,0.53,1.0
14,34.142119,-117.450027,3.0,1650.0,True,2002.0,2.0,3.0,False,0.0933,2.0
11,33.85945,-118.18568700000002,2.0,1400.0,False,1929.0,2.0,3.0,False,0.152,1.0
63,34.137596,-118.619277,3.0,2135.0,True,1970.0,3.0,4.0,False,0.2604,1.0
8,37.75824658,-122.1402847,2.0,1822.0,False,1958.0,2.0,3.0,False,0.3033,1.0
4,33.756041,-117.839833,2.0,1476.0,True,1977.0,2.0,2.0,False,0.0981,1.0
26,33.739978,-116.19334,3.0,2554.0,False,2024.0,4.0,3.0,False,0.11,2.0
0,33.602492,-116.433012,5.0,3822.0,True,1990.0,6.0,5.0,True,5.06,1.0
1,34.113440999999995,-117.803044,2.0,1348.0,True,1961.0,2.0,3.0,True,0.1709,1.0
44,33.662565,-117.800184,2.0,1532.0,True,1974.0,2.0,3.0,False,0.1146,1.0
13,33.610011,-117.2616,4.0,2436.0,True,1987.0,2.0,5.0,False,0.17,2.0
25,33.935592,-116.498105,2.0,1747.0,False,2025.0,2.0,4.0,False,0.1653,1.0
12,36.97575734,-122.03948361,3.0,2434.0,True,1963.0,4.0,4.0,True,0.194,1.0
181,34.081091,-117.839974,3.0,2055.0,True,1975.0,2.0,3.0,False,0.191,1.0
6,39.760554,-121.827781,2.0,1404.0,False,1994.0,2.0,3.0,False,0.13,1.0
27,34.226183,-118.978634,2.0,1309.0,False,1979.0,2.0,2.0,True,0.07,1.0
5,34.120527,-117.526154,3.0,3016.0,True,2001.0,4.0,5.0,True,0.182,2.0
8,37.4730198,-122.21994408,2.0,1310.0,True,1943.0,2.0,4.0,True,0.1405,1.0
23,34.4001,-118.554847,3.0,1839.0,True,1987.0,4.0,4.0,False,0.1149,2.0
2,34.166268,-118.129178,2.0,1132.0,True,1912.0,2.0,2.0,False,0.2322,1.0
15,34.442853,-118.51001,2.0,1381.0,True,1971.0,2.0,3.0,False,0.1746,1.0
14,32.84182339,-116.76019419,4.0,2325.0,False,1996.0,6.0,4.0,False,1.06,2.0
7,33.02962735,-117.06359607,2.0,1817.0,True,1970.0,5.0,3.0,False,0.202,1.0
20,34.186098,-118.282086,2.0,2501.0,True,1937.0,2.0,3.0,False,0.2569,1.0
22,37.84802886,-122.25870572,3.0,2488.0,True,1912.0,1.0,5.0,False,0.0956,2.0
0,33.686998,-117.179473,2.0,1582.0,True,1988.0,2.0,4.0,False,0.17,1.0
74,33.8255,-118.170572,2.0,1978.0,True,1931.0,2.0,3.0,False,0.1326,1.0
15,34.032224,-118.51725,2.0,1873.0,True,1935.0,3.0,3.0,False,0.1498,1.0
63,34.386757,-118.452249,5.0,4303.0,True,2018.0,5.0,5.0,False,0.2356,2.0
